filename,lr_size,hr_size,scale_x,scale_y,ssim,color_drift,sharpness_ratio,bad,reasons
omega_red_00014_.png,250x143,1000x572,4.0,4.0,0.8161,2.8321,0.5823,False,
omega_red_00015_.png,250x143,1000x572,4.0,4.0,0.8673,2.2275,0.6403,False,
omega_red_00016_.png,250x143,1000x572,4.0,4.0,0.8493,2.3673,0.6393,False,
omega_red_00017_.png,250x143,1000x572,4.0,4.0,0.852,2.4284,0.6366,False,
omega_red_00018_.png,250x143,1000x572,4.0,4.0,0.8679,2.2096,0.7128,False,
omega_red_00019_.png,250x143,1000x572,4.0,4.0,0.8558,2.2941,0.7201,False,
omega_red_00020_.png,250x143,1000x572,4.0,4.0,0.8479,2.51,0.6293,False,
omega_red_00021_.png,250x143,1000x572,4.0,4.0,0.8639,2.3258,0.7094,False,
omega_red_00022_.png,250x143,1000x572,4.0,4.0,0.8728,2.1832,0.7294,False,
omega_red_00023_.png,250x143,1000x572,4.0,4.0,0.878,1.957,0.7254,False,
omega_red_00024_.png,250x143,1000x572,4.0,4.0,0.8852,1.9476,0.7774,False,
pkmn_00001_.png,237x114,948x456,4.0,4.0,0.8225,3.4477,0.8585,False,
pkmn_00003_.png,585x75,2340x300,4.0,4.0,0.878,1.6574,0.6994,False,
pkmn_00004_.png,139x142,556x568,4.0,4.0,0.8326,3.6705,0.9175,False,
pkmn_00005_.png,139x142,556x568,4.0,4.0,0.8752,3.1266,1.0002,False,
pkmn_00006_.png,139x142,556x568,4.0,4.0,0.8026,4.689,0.9444,False,
pkmn_00007_.png,139x142,556x568,4.0,4.0,0.8458,3.2859,0.919,False,
pkmn_00008_.png,139x142,556x568,4.0,4.0,0.8819,2.6509,0.9839,False,
pkmn_00009_.png,139x142,556x568,4.0,4.0,0.9146,2.3218,1.075,False,
pkmn_00010_.png,139x142,556x568,4.0,4.0,0.8554,2.9788,0.9502,False,
pkmn_00011_.png,139x142,556x568,4.0,4.0,0.8595,2.7042,0.9428,False,
